"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"threshold",7.211412311625,7.46576666164479,7.21492171655183,7.15874322668796,7.44888870483175,7.57136833418356,7.1389971274451,7.13475120536374,7.30595458503166,7.37078282308311,7.3462778070798,7.05710560613144,7.34765418597228,7.21208968335105,7.67320290113699,7.10780498965753,7.46075550642044,7.19000711603433,7.18118491239959,7.37688471506852,7.1618120414598,7.15854561378985,7.62109972461367,7.61014134170843,7.35463468233521,7.36681196863753,7.54070462186711,7.44861658165085,7.24636145393178,7.26735216764414,7.59073693194051,7.63698935684382,7.37356437887429,7.7292409874089,7.37976136816311,7.39465525636642,7.43605708171445,7.7446224324113,7.38958379591053,7.24195770679819,7.41312902541689,7.20265286597244,7.67115415001557,7.41189388745802,7.32249249323471,7.34475518007074,7.38586452359903,7.30738646815711,7.62665430665647,7.24474967466068,7.36022639098139,6.90702555371027,7.13142173031662,7.55263948490236,7.46067900725088,7.55463205218276,7.15227504042029,7.060369200545,7.52333583980935,7.39042587740312,7.74326563408312,6.9761500110717,7.1858644944717,7.49572416673575,7.46324578015401,7.11983499872466,7.09750029539666,7.4051712206378,7.11161227709922,7.39625570118556,7.44801026367174,7.69218347770208,7.4237793434736,7.41043048248482,7.56908196688986,7.37283993073818,7.08116445223027,7.39066388073758,7.29193201761996,7.88009337702458,7.26413701289149,7.71229054532549,7.10719881294862,7.16212897918681,7.60756729652201,7.33464982431252,7.41600871438684,7.8013784684821,7.53058020692883,7.5291683047001,7.22798805792976,7.15420478870288,7.50283561402284,6.99698730181317,7.50296315213472,7.00375275794426,7.20031035408513,7.23413076907031,7.85215210766916,7.27006071061352
"umc1573",18.9135529545605,19.0903657060007,17.4164525693946,18.6842006356778,16.522238920322,16.1912199982427,19.0586786491057,19.1745185955239,19.9183701741762,18.096693039595,17.7681997087421,18.9217385776715,18.8763945616649,18.0401340575907,21.0809772601025,18.0034464850255,18.5413545596271,17.8254832521817,19.6455972902994,17.9839795929748,14.4695433599102,22.5442585041995,19.3107906988481,17.289787190161,18.5982017060439,19.0809195957985,19.6546605244577,17.803547686325,16.7147606664765,19.1872605840171,18.5208778380677,17.2548295299387,20.0800636288032,18.6669722111012,17.9202405614394,16.3453939275495,19.1931506257085,19.180458466838,17.8329459418489,18.9925189745573,16.9062477170513,19.6496609332137,17.9696183803158,19.2783885327743,20.0729484185096,17.4118311520203,19.7448086129683,20.460813688538,16.8615667443982,18.7534869850092,18.6272455557716,16.6602245376898,19.6810454188488,19.2702400987515,19.3070093770741,19.5851688214557,18.3467210290268,18.6009067713817,15.3666254877251,17.8356678102021,17.4305825821748,19.1118422541455,18.0654675889203,17.5530450079887,23.756420737217,18.7266050133191,21.1421471072963,20.0171295217702,19.0643771992814,15.1879567998231,19.0904935330157,19.6497068151387,19.6570151669307,18.33221893993,17.6062000372831,18.6155418673345,20.6309072467224,19.4495664404257,19.5759257491915,18.8874906220552,19.2139645415834,17.4773743519713,18.340137080469,18.3198032633219,16.8634276756503,19.5203192209395,17.3902416303454,20.7275648490049,21.1472543748347,18.5913717306776,19.4595689993497,18.0430034816818,20.1985471758416,17.2827182576261,17.6026108778738,18.7141184169702,17.9684358273052,19.2494577400188,17.7926134154253,19.2939232166138
"bnlg1953",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cdj2",5.24139723966684,5.31364332176238,6.29291352402993,5.25745954947226,4.4157892110357,5.65412765662103,6.1377655892133,5.75338028242251,5.38860294096941,6.24425695239074,6.0730824257617,5.71386635233608,5.15973096149611,5.74720734984382,5.52473067357838,4.26289548063076,6.234312746809,6.36806466079886,4.38341736516008,4.65311243126868,5.96802573952851,5.14287221127441,4.57244880239281,5.78320097118197,5.44250316970056,5.63236592680377,6.37182342664119,4.93339232800025,4.74044723836136,4.98718222762054,5.8212889975901,4.99257754895797,6.0835466901182,6.15968313758921,6.14019936086609,5.60473744477923,5.64450746493759,6.26157263487102,5.45815111787604,4.45482142359967,6.33018990731085,4.94255012175242,5.08163279430437,5.68303889539848,5.6297556048649,5.18806833206904,5.31447889293398,4.51519925864724,6.5230193531041,4.67107232966433,4.59385865618813,5.49292453805433,5.26463956490181,4.92786548785168,5.81175001122372,6.26489097465085,5.28878655308191,4.76258508097993,5.59556610526394,6.08913822380856,5.58458553985426,4.68671389919209,5.26361922666632,4.99033000098234,4.92536131623797,5.97626453290059,6.48810246474343,5.59014373129372,5.03607757811392,6.88258301897804,5.32229124439593,4.41752791987659,5.4356252930364,5.43158653401778,5.45684826509603,5.78114869599733,4.70131608767059,5.52002697085169,4.57174046131541,4.18705349203731,5.87211882761841,6.72329305283549,6.21589953919536,5.35968153849763,6.08096365641288,6.59365930687636,5.37892599841214,4.45757148522299,4.31416390088251,5.0134496871799,5.20342685003018,5.91187034417069,4.855023014468,6.19619711086253,5.32043952293219,4.85579195051994,5.20540303971927,5.41117707869182,5.35222123040529,5.21871244846847
"umc1124",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bm3",4.38788259869568,3.88882778311643,3.4684826536735,3.43831926768101,3.49329401021839,3.17172126286221,3.27899943783885,3.63182467343086,4.38674153291109,2.975433949587,3.31536381885829,4.34528080375267,4.798000725512,3.23744366826523,4.50894239296616,3.84873115496944,3.86562341309372,3.13864014148461,4.32222688343305,3.73033858696351,3.3635049288547,3.7087715344415,4.34963894247539,3.61448777181232,3.19145071177007,3.65460907522868,3.49024491125797,3.2045004022504,4.70756990065502,4.82259765764596,3.84498380781142,3.94039412357068,3.39787140657171,3.47537067874055,3.51527888578573,3.13083914018011,4.36064010698888,3.7725967345917,4.83455451244032,4.07973987024661,3.6901067087839,3.31156170733067,3.29107421248116,4.58889826938784,3.3706802317852,4.05905375958207,3.73496476708496,3.24070818412346,3.95480742654416,4.33839723369101,3.58893940514824,4.26007559027991,3.76046697147649,3.12393352086667,4.48447232646728,3.53211093799592,3.66418354095941,3.76790607818259,3.56152173395517,2.96871492090551,3.79539969771074,3.44532649651075,4.06541643209394,4.58870378012725,4.10772287310689,4.313957656291,3.96529446033207,3.52023922989045,4.47967897966836,3.67372275285337,3.59163014255182,4.02740103152672,3.43066773015084,2.85891644547843,4.01791694246904,3.89540343290986,4.06588536880204,4.44226367403633,3.2321704299805,3.67332806629375,3.96645367448349,3.99282320406266,3.59532207734344,3.9082197472934,3.38470949430189,2.68693737976795,3.80181507375917,4.22860637746408,3.66478583847919,3.81911825552726,3.66057592240966,3.6628601717579,3.79799771938241,4.00135199398662,3.26347336853439,3.34882949738144,3.40448578860858,4.3128936567735,3.30713019684359,3.49331082162038
"mmp118",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"umc2105",1.3200951994607,0.982546112038136,1.30024726346272,1.22551806666695,1.05146281818512,1.48647988692318,1.31285646523722,1.01098762830588,1.20868367840572,1.56031011211221,1.42667285215356,1.26590570948017,0.999838489919341,2.01568900780214,1.15275646429882,1.19707057191113,1.43176633607246,0.788049754285311,1.95156429749485,0.804673463584891,1.89629582759534,0.911859215066784,1.52843238250321,1.28339128597673,1.1770174231464,1.35601558841694,1.06395567538647,1.44538124086404,1.08092013066508,1.38503231347696,1.4632812079733,1.29709455660574,1.01777313677732,1.43468056465977,1.49504308676146,1.87969199572328,1.4280840955355,1.71547239243881,1.28569648671089,1.61437405511319,1.39945823297813,1.2867320651562,2.33189087100038,1.07157328084227,1.00530356370879,1.48011284787529,1.36038534916023,1.85903753109406,1.22748573490182,1.38558647305879,2.12035428630108,1.10694775568322,1.09118805254892,1.74368977197378,1.30827630808434,1.37483855817808,1.96279682246026,1.87230960974452,1.58668688817784,1.59557920748094,1.9945823110024,1.10495758524553,1.28499331191333,1.48306542172165,1.61125856459333,2.02807013891464,0.875388927595282,1.14075236196524,1.12500413332447,2.07387671077694,1.24248617321527,0.981790345164853,1.02674991130036,1.06608814653194,2.06341913126678,1.60625975649148,1.3834081989765,1.27645542945584,1.70343808040124,1.15611987418421,1.53300356617282,1.66459562575548,1.07081382644014,1.21198248043495,1.66844289697005,1.27862152527783,1.16121322789897,1.63684859880195,1.31150852353005,1.48975660329461,1.23294346505838,1.1595107695899,1.97617867137583,2.15043310372923,1.18365307534236,1.23903402171396,2.18247669831626,1.81019777487541,2.41804897094974,1.1044335975769
"lim343",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"umc1101",3.17288414195318,3.98926599929803,3.942530097873,2.26032631731766,4.56659266768187,3.60877403261668,3.88210486950058,3.11786557748724,2.91408575437521,4.10556219213368,4.32838880397105,4.08869046193854,4.26170313916188,4.38592302275975,4.46218947747417,4.10673105499322,2.92062212035762,3.56998331432939,3.79312062936535,3.22486667114191,3.01967216584788,3.29444259917861,3.90274488576736,3.89750632906058,3.60011181492806,3.86078231406904,4.21027840745674,3.34803885869187,3.21833616658239,3.7533667704021,3.45904008651868,3.31349551263241,4.92105232131223,4.30492574224587,3.81493652660993,3.46912234694108,3.22974416561627,4.01299159626828,4.20852655713793,4.10811436640114,3.01054931302804,4.31087497983754,4.11691007231144,4.14762945212524,4.11551712712495,3.49001610707623,4.58954861670517,3.84734383344815,3.25326430138315,3.83937445242719,4.4804196696243,3.55092444315062,4.02772390270877,3.80553235616827,3.35486556845862,4.05806141021799,4.64521593033317,3.71131899236875,3.33864449986442,3.45020824624433,3.35350535514044,3.35224353470636,3.92560076203796,3.59840790309588,3.78867499495516,3.59536269358696,3.58575766205419,4.13290162411815,3.14362334312111,3.08725795072067,2.80756200736172,3.4102743118587,3.77396142521542,4.13571179618572,2.76891961644642,3.18358451370057,4.19188069614069,4.04063615600927,3.53580518631409,3.61291656960753,4.48509211954868,3.10396045430028,3.30766357170697,4.05163432551626,3.66757766996793,2.94429667853768,3.56160991461456,5.14444388477582,3.27100574304208,3.37188230812427,4.08014749144681,3.85503016449542,3.86495323251415,3.72968191034101,3.21278717416021,5.37736703094944,4.07527354504242,4.20274882765892,4.39242780429532,3.39053399005036
