"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"threshold",7.50524122984018,7.39184068410211,7.72457426106754,7.16117858430894,7.27640689247511,7.3461101511124,7.64990419168318,7.17836339676696,7.68652312251035,7.33313942078863,7.36482692383981,7.37787535328912,7.70727679032219,7.58974233513836,7.58240675920933,7.05240222147844,7.68341371866644,7.21543092708974,7.30648782148034,7.22358334412306,7.11647857245191,7.51344400129267,7.46686419658668,7.39677535876418,7.41279566287193,7.63971016522574,7.59314327352229,7.85788156754692,7.82686075152025,7.57591899859334,7.38119981028136,7.91603840893094,7.31702881880757,7.23798614938817,7.16601706018871,7.75753031955806,7.16029534857749,7.17901629045022,6.9698142005772,7.35850564295944,7.34037292463718,7.3073113723257,7.31115374319424,7.3618136321354,7.36061397156006,7.27421579128365,7.30365384976573,7.37151171543566,7.57009835497173,7.56388022330635,7.35695947067151,7.33220554301646,7.22204421498455,7.75712683711176,7.58636496870946,7.16434925034957,7.3677973608267,7.40247038645738,7.65798985589563,7.33062000349046,7.31013633077505,7.28665877325324,7.32310378456491,7.62269050117876,7.62931453348691,7.5959671754973,7.01979771177113,7.18581798383389,7.08290001352771,7.34342415076759,7.45077356080115,7.28826068997278,7.14706344794614,7.26011850768144,7.54475989628261,7.2848886242533,7.30577344594485,7.3059512656547,7.8194416191625,7.50438033706574,7.2820909796305,7.30891754382165,7.51217230786832,7.46960914205366,7.1650720939549,7.08739062553946,7.11720554549929,7.29618329584584,7.41911796314589,7.88885758089114,7.54802565806654,7.16312652303228,7.84565889595757,7.45961977934152,7.40558720311723,7.17953566268696,7.22153204918243,7.43304046971098,7.39539655108886,7.23203127812351
"umc1973",16.4178816768717,16.6722728886289,13.7314894023551,12.9265767434805,14.6596105634791,14.6701391508809,10.541850906519,14.4477676714354,13.1244177961357,13.4786669387465,13.8405811874898,14.9812221080527,12.0924598240491,10.702149344277,12.397661039627,14.3783392398479,13.8934971043294,14.8523032926607,12.1832357193096,13.3287438042982,13.5843366196794,14.3873777246385,13.0932260855176,14.4602600965412,11.7203124066979,14.9947357481841,13.0925262845902,11.9895438637609,11.1605718900536,14.7683450494046,13.6641991550703,13.4328501088825,12.2319225403923,12.1520960081167,14.4679869710029,16.3060105810275,16.7050954017798,13.0881182933714,11.4688543507658,12.1456716726852,13.409965629297,15.7749811561661,14.9269668423351,12.4037878269915,11.4965981747336,14.3004090799706,12.5409308730122,14.5808809150716,14.1721065643703,13.0917194906062,13.5170969671466,14.3929656165288,13.6808323663053,16.8070632465665,14.461969439453,11.4884041667683,13.8112938432114,15.2907828821405,14.3162306015968,13.8987969771825,15.1376290076036,14.5672308395893,12.5885704794739,12.4311049637892,13.3031565301547,15.7742484216916,12.6471070898492,13.6205056698521,12.603589806729,12.9756829644126,13.3321791043637,15.9194749194198,11.9007165514772,15.1097602690659,11.594847982,16.4237145483243,13.2691988379185,13.643094389345,13.9713488777715,13.4831905914008,12.5142613252739,11.430567317348,13.4656287654727,13.2181173488025,13.8100766316304,12.2060985295236,12.3983214592904,12.8624160040667,12.2435269064414,13.4043121826473,12.9869344639518,15.2947447307048,13.54721050683,14.0422176479369,15.0152835270625,13.2323325639483,12.3485218498649,13.8580577191338,13.6198479901475,11.5312196036954
"bnlg1583",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"csu696",2.48586457026437,1.96639057330668,3.55241758707737,2.66171588095145,3.00470416107026,1.90858498060763,2.88429355941634,2.79213024180081,2.76306133433434,3.09917008200469,1.72500880547946,1.48993707989595,1.82473585040881,2.73372348853627,2.79464489835894,1.92521622811398,3.1734566018099,2.32413054035007,1.46903683991056,2.62104517581605,1.84197765618794,2.99366505330289,2.67535264885748,1.64405690017216,2.85955274771212,1.97148215710155,1.31403461898682,2.22516335878299,2.22659330263846,2.24545512645417,1.53344269567586,2.97299950834014,2.51471936628906,3.4086323859444,2.70869359965579,2.4930030404613,1.43039870718215,2.63898141532817,3.58903145819454,2.9131882072929,1.69021295765037,2.08747112380161,2.52670810869449,2.09131991062293,3.84173002741633,2.39522697535742,1.74179001508503,2.40866164211687,2.63056723412936,2.57567815913143,2.69732741325305,2.81346804107838,2.55706879119086,1.96617345734529,2.67009535249386,2.10211692894114,1.76968181139648,2.62377593501122,2.98996223733621,2.81276850257873,2.1546256658952,2.42568102429993,1.96618781775558,1.60644113062423,3.33452764017889,2.40780384012331,3.00129224459383,2.2435628863964,4.67848859061311,2.67618615388639,3.58424247092887,2.33903838230646,3.22791777692913,2.70965432098461,2.60768595280689,3.89460949474076,3.09573957597829,2.65140695065108,2.90069192120984,2.13846709461984,3.36376524027571,3.38567496072037,2.81412504264603,3.20152264699286,3.52074192163272,3.52769034332596,2.86336904230504,2.90533203995281,3.74823440729926,2.23026222750372,2.33182471694511,3.09988013878976,1.75479407083856,2.79817177162317,2.50482699437521,2.26256874521218,2.37352426137062,3.0464026957255,2.49299053158541,3.04341930439793
"zm1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"myb6",2.33626794487077,1.26401200169428,3.03164411419891,2.60249440160547,2.37047878852172,3.71780781936255,2.09006822820729,2.64642974180694,2.30971841390289,2.0129302321123,2.51408454953071,1.93323025561565,2.89291687338348,2.79071535496058,3.54909862061749,2.70532169714991,2.4468150609689,2.94605029219446,3.11032005958094,2.72189719640093,2.57648571461093,2.7651624239528,2.26701565104491,1.95866904392582,2.86263770613695,2.14372199417701,2.50855216771674,2.23320711110495,2.17005569582616,2.23264683299476,3.86301403927138,2.34260663102472,2.61223671560845,2.24552912864672,1.88750408955622,1.84818280338607,1.58497377533621,3.00283648305521,3.17307048094253,2.64498529964015,2.27171618616626,1.91036273478912,1.86194144031225,2.11714241278042,2.54130868529509,2.42262214670569,1.92192936568807,3.45479318659079,1.8999993013166,2.13642286129181,2.5804137187296,2.81576707251261,3.18948808078562,2.31924934779553,1.91381169239656,2.53702953442303,3.589556497887,1.95592953385756,2.23769797336996,2.46576002566567,2.79580676002928,2.98647188567307,2.66482765419417,2.5880517998568,3.10687852020268,2.76275940663277,3.39063059181629,2.48571929629779,1.99624522943415,2.22143297523405,3.14765076391026,1.55366530198043,2.6211585620847,2.15143302508227,1.61883020694501,1.45744296130985,1.86659133296149,3.67393824230808,2.1536774932689,2.5245544442412,1.27024342125736,2.38409302636271,3.47785461392331,2.56448012152163,2.39717383666087,2.63663634892688,2.99208667782219,2.89602230886393,2.47948097763623,2.23353362352233,2.71742722372724,2.21532976592613,3.92181321218791,2.55455321046813,2.37322120544195,3.18467121439599,1.15320215530531,2.95304133141101,2.77501385117273,2.57259476337683
"umc1976",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"csu623",0.929378222566527,0.795433299020459,1.19081014365557,1.38665655301253,1.54042231808555,0.865140988738403,0.767362661266873,0.760060840452098,0.500290497553209,0.944596699371829,1.01179972814305,0.944724691283369,1.46645758311269,1.18280247606648,1.05473606051405,1.18917217930903,0.875969021655123,1.08078151088915,1.01893019419552,0.607816592605445,1.05663138407709,0.904861724924075,0.721734369067462,0.522196168289668,1.33564700984965,1.00425131792238,1.10721857266634,0.885365014463503,1.45499622280212,1.50862143643667,1.11490197514058,0.992573342440693,1.00047347196107,1.07495445599653,2.17887710241592,0.642793616466122,0.843502710168451,0.901709583107021,1.26335179183076,0.966900588857499,1.75640463511462,1.1526895733428,1.49286985892246,1.36224799515298,0.887342418714496,0.874581390099479,2.11300060220611,1.1381722783002,1.79385787162056,0.878151691108144,1.31609038431441,0.968063430332336,0.953360320532454,1.06804797916419,0.662755531492792,1.18647444760163,1.13001154076716,0.469771640796353,1.15507533543359,1.18347961678981,1.22011817583191,0.948424947396859,0.834880065614357,0.708283489164927,0.720448764706703,1.15526434608464,2.13417250030841,1.10763881623473,0.90583396203678,1.0523493694497,0.75579806804663,1.54915325946334,1.1135478765614,0.451511524033435,1.1353467411065,0.815150311942602,1.08766668919569,1.0756732428213,2.42668684863284,1.39136082140232,0.783998775030881,1.70214733314779,1.84874997974396,1.25834474645706,1.626524324088,1.12148691767283,0.868709408642275,1.85429712605614,1.38975372404764,0.574636245053938,1.80534100113732,0.797971005646957,1.57572969444814,1.26608099788606,0.991682236617208,0.704683768567776,1.40498476325556,0.77813220512499,0.988521687214529,1.47635243072787
"bnlg1746",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"psb365a",0.545461350006349,0.643793691283122,0.686015851781491,1.02970489679402,0.29072409096139,0.414805442307966,0.835800310250534,0.430205118647422,0.437585110053135,0.504571712134947,0.501104570365101,0.535481069391949,1.16255610973548,0.254939575048184,1.29746071111896,0.909565019265557,0.640072752547269,0.838506220171155,1.03077511051939,0.585704728856086,0.262258276657406,0.493827652857192,0.99772876557833,1.08722057885805,1.12101768576787,0.716141140999667,0.371826949870496,0.130426266139779,0.180436976153516,0.763567033042847,0.38611093139906,0.744076235091427,0.688903536608649,1.65071574135575,0.271657735526304,0.651950271491756,0.523604792550941,0.902964388332805,0.376618591941508,0.806341519716455,0.373652918052443,0.518448964011611,0.530285499472541,0.890262775253149,0.311430883810431,0.311560234174436,0.389175652930533,1.26227726058499,1.01774408794449,0.800236508950348,0.840578582716176,0.339158628398138,0.661085942769574,0.626650346494927,0.188533933397821,1.0806124441788,0.664435171339136,1.29787750601079,1.06909996069265,0.617274559915501,0.761785668628704,0.371081222905417,0.394119614004694,0.818289847488558,0.366632998248747,0.583076566796905,0.828877754966868,0.691111435061572,1.02471834679412,0.9421527335615,0.827849485052553,0.677050301023115,0.655307752429763,0.617278132636415,0.6181343135936,0.519029901589903,0.419853632794599,0.777745544954257,0.931282065226611,0.366070943510749,1.83581853971171,0.3544914753694,0.980750462419536,0.934828904506219,1.0747116002097,0.640356082849934,0.470149120533677,0.654255873822876,0.73622949513981,0.815354759352601,0.813799911533351,0.388902476060366,0.585975135583311,1.3258782954953,1.16883831350037,1.20991607592396,1.00642337216124,0.791375498434974,0.57979340211682,1.44392274437885
